IPI	Description	Protein Length	TMHMM Topology	List of Transmembrane Loops and Sequon Data	Avg-loop.i	Avg-loop.o
IPI00453625	TREMBL Q8C3P4	151	o33-55i76-95o99-121i	o(1-33=32)/1 i(55-76=21)/0 o(95-99=4)/0 i(121-151=30)/0 	25.5	18
IPI00110369	SWISS-PROT Q8VBS7	329	o33-55i68-90o110-132i152-174o205-227i259-281o291-313i	o(1-33=32)/1 i(55-68=13)/0 o(90-110=20)/0 i(132-152=20)/0 o(174-205=31)/0 i(227-259=32)/0 o(281-291=10)/0 i(313-329=16)/0 	20.25	23.25
IPI00760014	SWISS-PROT Q8VIC7	318	o33-55i68-90o110-132i152-174o205-227i256-273o288-307i	o(1-33=32)/1 i(55-68=13)/0 o(90-110=20)/0 i(132-152=20)/0 o(174-205=31)/0 i(227-256=29)/0 o(273-288=15)/0 i(307-318=11)/0 	18.25	24.5
IPI00465649	SWISS-PROT Q5QD16	343	o33-55i68-90o110-132i152-169o196-218i257-279o294-316i	o(1-33=32)/1 i(55-68=13)/0 o(90-110=20)/0 i(132-152=20)/0 o(169-196=27)/0 i(218-257=39)/0 o(279-294=15)/0 i(316-343=27)/0 	24.75	23.5
IPI00110392	SWISS-PROT Q8VIC9	329	o33-55i68-90o110-132i145-167o205-227i259-281o291-313i	o(1-33=32)/1 i(55-68=13)/0 o(90-110=20)/0 i(132-145=13)/0 o(167-205=38)/0 i(227-259=32)/0 o(281-291=10)/0 i(313-329=16)/0 	18.5	25
IPI00312884	TREMBL E9PVA4 Q7TRM9 Q8VFM7 Q9JKA6	321	o33-55i68-90o105-127i148-170o207-229i250-267o282-299i	o(1-33=32)/1 i(55-68=13)/0 o(90-105=15)/0 i(127-148=21)/0 o(170-207=37)/0 i(229-250=21)/0 o(267-282=15)/0 i(299-321=22)/0 	19.25	24.75
IPI00313039	TREMBL A2ATA0 Q8VFT1	318	o33-55i68-90o105-127i148-170o204-226i245-267o282-299i	o(1-33=32)/1 i(55-68=13)/0 o(90-105=15)/0 i(127-148=21)/0 o(170-204=34)/0 i(226-245=19)/0 o(267-282=15)/0 i(299-318=19)/0 	18	24
IPI00664250	SWISS-PROT Q80T62	511	o33-55i68-90o105-127i148-170o194-216i401-423o433-455i	o(1-33=32)/1 i(55-68=13)/0 o(90-105=15)/0 i(127-148=21)/0 o(170-194=24)/0 i(216-401=185)/0 o(423-433=10)/0 i(455-511=56)/0 	68.75	20.25
IPI00127612	TREMBL Q7TR78 Q8VGS2	320	o33-55i68-90o105-127i148-167o211-233i245-267o280-299i	o(1-33=32)/1 i(55-68=13)/0 o(90-105=15)/0 i(127-148=21)/0 o(167-211=44)/0 i(233-245=12)/0 o(267-280=13)/0 i(299-320=21)/0 	16.75	26
IPI00987808	TREMBL E9Q1P2 F6RQC1 Q3US77 Q7TS14 Q8K503	318	o33-55i68-90o105-127i147-169o211-233i245-267o282-299i	o(1-33=32)/1 i(55-68=13)/0 o(90-105=15)/0 i(127-147=20)/0 o(169-211=42)/0 i(233-245=12)/0 o(267-282=15)/0 i(299-318=19)/0 	16	26
IPI00881883	TREMBL F7C7Y4 Q7TS16	323	o33-55i68-90o105-127i147-166o211-233i245-267o282-299i	o(1-33=32)/1 i(55-68=13)/0 o(90-105=15)/0 i(127-147=20)/0 o(166-211=45)/0 i(233-245=12)/0 o(267-282=15)/0 i(299-323=24)/0 	17.25	26.75
IPI00396765	SWISS-PROT Q9QZ03	324	o33-55i68-90o105-124i238-260o270-292i304-323o	o(1-33=32)/1 i(55-68=13)/0 o(90-105=15)/0 i(124-238=114)/0 o(260-270=10)/0 i(292-304=12)/0 o(323-324=1)/0 	46.3333	14.5
IPI00310390	SWISS-PROT Q920H4	532	o33-55i68-90o105-124i151-173o193-215i444-466o476-498i	o(1-33=32)/1 i(55-68=13)/0 o(90-105=15)/0 i(124-151=27)/0 o(173-193=20)/0 i(215-444=229)/0 o(466-476=10)/0 i(498-532=34)/0 	75.75	19.25
IPI00113270	SWISS-PROT Q9ESD6-1	167	o33-55i68-90o105-124i131-153o	o(1-33=32)/1 i(55-68=13)/0 o(90-105=15)/0 i(124-131=7)/0 o(153-167=14)/0 	10	20.3333
IPI00121350	SWISS-PROT Q9DCU2	182	o33-55i68-90o100-122i143-165o	o(1-33=32)/1 i(55-68=13)/0 o(90-100=10)/0 i(122-143=21)/0 o(165-182=17)/0 	17	19.6667
IPI00759889	TREMBL F7ARC5 Q1LZM1	402	o33-55i68-90o	o(1-33=32)/1 i(55-68=13)/0 o(90-402=312)/0 	13	172
IPI00410807	TREMBL E9PV37 Q7TS24	331	o33-55i68-87o102-119i140-162o213-235i248-270o285-302i	o(1-33=32)/1 i(55-68=13)/0 o(87-102=15)/0 i(119-140=21)/0 o(162-213=51)/0 i(235-248=13)/0 o(270-285=15)/0 i(302-331=29)/0 	19	28.25
IPI00553283	SWISS-PROT Q5HZJ5	669	o33-55i68-85o95-117i172-194o	o(1-33=32)/1 i(55-68=13)/0 o(85-95=10)/0 i(117-172=55)/0 o(194-669=475)/0 	34	172.333
IPI00885920	TREMBL D6RFB2	391	o33-55i68-85o95-117i172-194o	o(1-33=32)/1 i(55-68=13)/0 o(85-95=10)/0 i(117-172=55)/0 o(194-391=197)/0 	34	79.6667
IPI00321753	SWISS-PROT Q8BHL4	356	o33-55i67-89o99-121i134-156o179-201i213-235o245-264i	o(1-33=32)/1 i(55-67=12)/0 o(89-99=10)/0 i(121-134=13)/0 o(156-179=23)/0 i(201-213=12)/0 o(235-245=10)/0 i(264-356=92)/0 	32.25	18.75
IPI00229759	SWISS-PROT Q9ESD6-2	134	o33-55i67-89o99-121i	o(1-33=32)/1 i(55-67=12)/0 o(89-99=10)/0 i(121-134=13)/0 	12.5	21
IPI00125007	TREMBL E9PYN8 Q7TS26 Q8K515 Q8VES6	320	o33-55i67-89o104-126i166-188o203-225i244-266o281-298i	o(1-33=32)/1 i(55-67=12)/0 o(89-104=15)/0 i(126-166=40)/0 o(188-203=15)/0 i(225-244=19)/0 o(266-281=15)/0 i(298-320=22)/0 	23.25	19.25
IPI00408449	TREMBL Q7TRS5	316	o33-55i67-89o104-126i147-169o210-232i245-267o277-299i	o(1-33=32)/1 i(55-67=12)/0 o(89-104=15)/0 i(126-147=21)/0 o(169-210=41)/0 i(232-245=13)/0 o(267-277=10)/0 i(299-316=17)/0 	15.75	24.5
IPI00844805	TREMBL Q7TRR9	316	o33-55i67-89o104-126i147-169o210-232i245-267o277-299i	o(1-33=32)/1 i(55-67=12)/0 o(89-104=15)/0 i(126-147=21)/0 o(169-210=41)/0 i(232-245=13)/0 o(267-277=10)/0 i(299-316=17)/0 	15.75	24.5
IPI00127885	TREMBL E9PVA0 Q8VGX8	317	o33-55i67-89o104-126i147-169o206-228i241-263o278-300i	o(1-33=32)/1 i(55-67=12)/0 o(89-104=15)/0 i(126-147=21)/0 o(169-206=37)/0 i(228-241=13)/0 o(263-278=15)/0 i(300-317=17)/0 	15.75	24.75
IPI00947594	TREMBL E9PVJ7 Q8K505	320	o33-55i67-89o104-126i147-169o203-225i244-266o281-298i	o(1-33=32)/1 i(55-67=12)/0 o(89-104=15)/0 i(126-147=21)/0 o(169-203=34)/0 i(225-244=19)/0 o(266-281=15)/0 i(298-320=22)/0 	18.5	24
IPI00226836	SWISS-PROT Q8BXS7	511	o33-55i67-89o104-126i147-169o193-215i235-257o277-299i	o(1-33=32)/1 i(55-67=12)/0 o(89-104=15)/0 i(126-147=21)/0 o(169-193=24)/0 i(215-235=20)/0 o(257-277=20)/0 i(299-511=212)/0 	66.25	22.75
IPI00117937	SWISS-PROT Q61184	353	o33-55i67-89o104-126i147-169o189-211i243-265o280-302i	o(1-33=32)/1 i(55-67=12)/0 o(89-104=15)/0 i(126-147=21)/0 o(169-189=20)/0 i(211-243=32)/0 o(265-280=15)/0 i(302-353=51)/0 	29	20.5
IPI00126068	SWISS-PROT Q8VFL5	318	o33-55i67-89o104-126i146-168o210-232i244-266o279-298i	o(1-33=32)/1 i(55-67=12)/0 o(89-104=15)/0 i(126-146=20)/0 o(168-210=42)/0 i(232-244=12)/0 o(266-279=13)/0 i(298-318=20)/0 	16	25.5
IPI00127056	TREMBL Q7TRD3 Q8VGD4	316	o33-55i67-89o104-126i146-168o209-231i244-266o281-298i	o(1-33=32)/1 i(55-67=12)/0 o(89-104=15)/0 i(126-146=20)/0 o(168-209=41)/0 i(231-244=13)/0 o(266-281=15)/0 i(298-316=18)/0 	15.75	25.75
IPI00127053	TREMBL E9Q9T9 Q7TRD5 Q8VGD1	316	o33-55i67-89o104-126i146-168o209-231i244-266o279-298i	o(1-33=32)/1 i(55-67=12)/0 o(89-104=15)/0 i(126-146=20)/0 o(168-209=41)/0 i(231-244=13)/0 o(266-279=13)/0 i(298-316=18)/0 	15.75	25.25
IPI00127057	TREMBL A1L1B2 E9PYB7 Q8VGD5	316	o33-55i67-89o104-126i146-168o209-231i244-266o279-298i	o(1-33=32)/1 i(55-67=12)/0 o(89-104=15)/0 i(126-146=20)/0 o(168-209=41)/0 i(231-244=13)/0 o(266-279=13)/0 i(298-316=18)/0 	15.75	25.25
IPI00127000	SWISS-PROT Q5QD13	345	o33-55i67-89o104-126i146-168o201-223i259-276o291-313i	o(1-33=32)/1 i(55-67=12)/0 o(89-104=15)/0 i(126-146=20)/0 o(168-201=33)/0 i(223-259=36)/0 o(276-291=15)/0 i(313-345=32)/0 	25	23.75
IPI00987366	TREMBL Q3TZA7	327	o33-55i64-86o101-123i143-165o185-207i224-246o	o(1-33=32)/1 i(55-64=9)/0 o(86-101=15)/0 i(123-143=20)/0 o(165-185=20)/0 i(207-224=17)/0 o(246-327=81)/0 	15.3333	37
IPI00895419	TREMBL F6W3F3	119	o33-55i62-84o89-108i	o(1-33=32)/1 i(55-62=7)/0 o(84-89=5)/0 i(108-119=11)/0 	9	18.5
IPI00321514	SWISS-PROT Q9JHH2-2	229	o33-55i62-84o173-195i	o(1-33=32)/1 i(55-62=7)/0 o(84-173=89)/0 i(195-229=34)/0 	20.5	60.5
IPI00473616	SWISS-PROT Q9JHH2-3	201	o33-55i62-84o155-174i	o(1-33=32)/1 i(55-62=7)/0 o(84-155=71)/0 i(174-201=27)/0 	17	51.5
IPI00275149	SWISS-PROT Q9JMG4-1	208	o33-55i62-84o149-171i	o(1-33=32)/1 i(55-62=7)/0 o(84-149=65)/0 i(171-208=37)/0 	22	48.5
IPI00876467	SWISS-PROT Q9JMG4-2	181	o33-55i62-84o149-171i	o(1-33=32)/1 i(55-62=7)/0 o(84-149=65)/0 i(171-181=10)/0 	8.5	48.5
IPI00874571	SWISS-PROT Q9JMG4-3	195	o33-55i62-84o149-168i	o(1-33=32)/1 i(55-62=7)/0 o(84-149=65)/0 i(168-195=27)/0 	17	48.5
IPI00263117	SWISS-PROT Q9JHH2-5	167	o33-55i62-84o121-140i	o(1-33=32)/1 i(55-62=7)/0 o(84-121=37)/0 i(140-167=27)/0 	17	34.5
IPI00880570	TREMBL D6RHS4	105	o33-55i62-84o	o(1-33=32)/1 i(55-62=7)/0 o(84-105=21)/0 	7	26.5
IPI00126684	TREMBL Q7TRA3 Q8VG90	315	o33-55i62-81o101-123i143-165o203-225i246-263o278-295i	o(1-33=32)/1 i(55-62=7)/0 o(81-101=20)/0 i(123-143=20)/0 o(165-203=38)/0 i(225-246=21)/0 o(263-278=15)/0 i(295-315=20)/0 	17	26.25
IPI00654372	SWISS-PROT Q8R1Z9-2	310	o33-55i62-79o84-103i123-145o158-175i285-307o	o(1-33=32)/1 i(55-62=7)/0 o(79-84=5)/0 i(103-123=20)/0 o(145-158=13)/0 i(175-285=110)/0 o(307-310=3)/0 	45.6667	13.25
IPI00876430	TREMBL E9Q4J7 F8VQ98 Q6UAF7 Q6UAF8 Q78PE2 Q7TRK6	314	o33-55i60-82o102-124i144-166o209-231i243-265o278-297i	o(1-33=32)/1 i(55-60=5)/0 o(82-102=20)/0 i(124-144=20)/0 o(166-209=43)/0 i(231-243=12)/0 o(265-278=13)/0 i(297-314=17)/0 	13.5	27
IPI00130988	SWISS-PROT O88455	471	o33-55i147-169o174-196i298-320o325-347i410-432o	o(1-33=32)/1 i(55-147=92)/0 o(169-174=5)/0 i(196-298=102)/0 o(320-325=5)/0 i(347-410=63)/0 o(432-471=39)/0 	85.6667	20.25
IPI00857851	TREMBL D3Z7G1	215	o33-55i147-169o174-196i	o(1-33=32)/1 i(55-147=92)/0 o(169-174=5)/0 i(196-215=19)/0 	55.5	18.5
IPI00515501	TREMBL Q5SZ93	414	o33-55i118-140o145-167i224-241o256-274i286-305o310-332i352-369o379-398i	o(1-33=32)/1 i(55-118=63)/0 o(140-145=5)/0 i(167-224=57)/0 o(241-256=15)/0 i(274-286=12)/0 o(305-310=5)/0 i(332-352=20)/0 o(369-379=10)/0 i(398-414=16)/0 	33.6	13.4
IPI00132528	SWISS-PROT Q9CQH0	114	o33-55i	o(1-33=32)/1 i(55-114=59)/0 	59	32
IPI00226379	SWISS-PROT Q8C708	225	o33-55i	o(1-33=32)/1 i(55-225=170)/0 	170	32
IPI00403042	SWISS-PROT Q8BG84-2	153	o33-55i	o(1-33=32)/1 i(55-153=98)/0 	98	32
IPI00457446	TREMBL Q8BGC6	103	o33-55i	o(1-33=32)/1 i(55-103=48)/0 	48	32
IPI00651976	TREMBL Q3U251	122	o33-55i	o(1-33=32)/1 i(55-122=67)/0 	67	32
IPI00653135	TREMBL Q3UL38	110	o33-55i	o(1-33=32)/1 i(55-110=55)/0 	55	32
IPI00857994	TREMBL D3YXR4	225	o33-55i	o(1-33=32)/1 i(55-225=170)/0 	170	32
IPI00886140	TREMBL D6RDQ0	140	o33-55i	o(1-33=32)/1 i(55-140=85)/0 	85	32
IPI00894982	TREMBL D6RG44	89	o33-55i	o(1-33=32)/1 i(55-89=34)/0 	34	32
IPI00918096	TREMBL A2CF63	57	o33-55i	o(1-33=32)/1 i(55-57=2)/0 	2	32
IPI00955114	TREMBL Q2TJJ4	232	o33-55i	o(1-33=32)/1 i(55-232=177)/0 	177	32
IPI00987515	TREMBL Q3UNY1	67	o33-55i	o(1-33=32)/1 i(55-67=12)/0 	12	32
IPI01027144	ENSEMBL ENSMUSP00000133865	70	o33-55i	o(1-33=32)/1 i(55-70=15)/0 	15	32
IPI00120194	SWISS-PROT P21183	415	o335-357i	o(1-335=334)/1 i(357-415=58)/0 	58	334
IPI00134304	SWISS-PROT O88786-1	383	o335-357i	o(1-335=334)/1 i(357-383=26)/0 	26	334
IPI00798436	SWISS-PROT Q3URD3-3	362	o335-357i	o(1-335=334)/1 i(357-362=5)/0 	5	334
IPI00136565	SWISS-PROT Q5U431	456	o33-52i73-95o110-129i154-176o224-246i282-301o321-343i	o(1-33=32)/1 i(52-73=21)/0 o(95-110=15)/0 i(129-154=25)/0 o(176-224=48)/0 i(246-282=36)/0 o(301-321=20)/0 i(343-456=113)/0 	48.75	28.75
IPI00858123	TREMBL A6QR71	315	o33-52i73-95o110-129i154-176o224-246i	o(1-33=32)/1 i(52-73=21)/0 o(95-110=15)/0 i(129-154=25)/0 o(176-224=48)/0 i(246-315=69)/0 	38.3333	31.6667
IPI00135600	SWISS-PROT Q3UW12-1	575	o33-52i174-196o248-270i	o(1-33=32)/1 i(52-174=122)/0 o(196-248=52)/0 i(270-575=305)/0 	213.5	42
IPI00652863	TREMBL Q3V046	102	o33-52i	o(1-33=32)/1 i(52-102=50)/0 	50	32
IPI00990668	REFSEQ XP_003084756	372	o33-50i52-74o89-111i118-140o155-174i181-203o218-240i	o(1-33=32)/1 i(50-52=2)/0 o(74-89=15)/0 i(111-118=7)/0 o(140-155=15)/0 i(174-181=7)/0 o(203-218=15)/0 i(240-372=132)/0 	37	19.25
IPI00990877	TREMBL E9PYX5	970	o334-356i469-491o506-528i535-557o	o(1-334=333)/1 i(356-469=113)/0 o(491-506=15)/0 i(528-535=7)/0 o(557-970=413)/0 	60	253.667
IPI00469000	SWISS-PROT Q8C145	765	o334-356i363-385o435-454i667-689o694-713i733-755o	o(1-334=333)/1 i(356-363=7)/0 o(385-435=50)/0 i(454-667=213)/0 o(689-694=5)/0 i(713-733=20)/0 o(755-765=10)/0 	80	99.5
IPI00110984	SWISS-PROT Q9D871	376	o334-356i	o(1-334=333)/1 i(356-376=20)/0 	20	333
IPI00755791	SWISS-PROT Q3URD3-4	359	o334-356i	o(1-334=333)/1 i(356-359=3)/0 	3	333
IPI00849865	TREMBL Q8CDT4	451	o334-351i	o(1-334=333)/1 i(351-451=100)/0 	100	333
IPI00876154	SWISS-PROT Q8JZZ7-2	963	o333-355i368-385o400-422i435-454o474-496i534-556o561-583i	o(1-333=332)/1 i(355-368=13)/0 o(385-400=15)/0 i(422-435=13)/0 o(454-474=20)/0 i(496-534=38)/0 o(556-561=5)/0 i(583-963=380)/0 	111	93
IPI00668099	SWISS-PROT Q8JZZ7-1	899	o333-355i368-385o400-422i435-454o474-496i516-538o548-570i	o(1-333=332)/1 i(355-368=13)/0 o(385-400=15)/0 i(422-435=13)/0 o(454-474=20)/0 i(496-516=20)/0 o(538-548=10)/0 i(570-899=329)/0 	93.75	94.25
IPI00117841	SWISS-PROT P26952-1	396	o333-355i	o(1-333=332)/1 i(355-396=41)/0 	41	332
IPI00318993	TREMBL B1B506 B1B507 E9Q5W7 Q3TA36 Q3TSW6	387	o333-355i	o(1-333=332)/1 i(355-387=32)/0 	32	332
IPI00742366	SWISS-PROT Q6V4S5-2	574	o333-355i	o(1-333=332)/1 i(355-574=219)/0 	219	332
IPI00988703	REFSEQ XP_003086889	673	o333-355i	o(1-333=332)/1 i(355-673=318)/0 	318	332
IPI00990330	SWISS-PROT P18337	372	o333-355i	o(1-333=332)/1 i(355-372=17)/0 	17	332
IPI00974951	SWISS-PROT O54803	379	o332-354i	o(1-332=331)/1 i(354-379=25)/0 	25	331
IPI01027256	TREMBL C5H3H7	393	o330-352i	o(1-330=329)/1 i(352-393=41)/0 	41	329
IPI00626467	TREMBL Q4KMN6	570	o329-351i	o(1-329=328)/1 i(351-570=219)/0 	219	328
IPI00123590	SWISS-PROT Q922Y2	403	o329-348i	o(1-329=328)/1 i(348-403=55)/0 	55	328
IPI00856527	TREMBL D3Z0I5	389	o329-348i	o(1-329=328)/1 i(348-389=41)/0 	41	328
IPI00132045	SWISS-PROT Q9QUQ5-1	974	o328-350i363-385o400-418i439-461o476-498i519-541o561-583i595-617o	o(1-328=327)/1 i(350-363=13)/0 o(385-400=15)/0 i(418-439=21)/0 o(461-476=15)/0 i(498-519=21)/0 o(541-561=20)/0 i(583-595=12)/0 o(617-974=357)/0 	16.75	146.8
IPI00229745	SWISS-PROT Q9QUQ5-2	890	o328-350i363-385o400-418i439-461o476-498i519-541o561-583i595-617o	o(1-328=327)/1 i(350-363=13)/0 o(385-400=15)/0 i(418-439=21)/0 o(461-476=15)/0 i(498-519=21)/0 o(541-561=20)/0 i(583-595=12)/0 o(617-890=273)/0 	16.75	130
IPI00331062	TREMBL Q8C265	398	o328-350i	o(1-328=327)/1 i(350-398=48)/0 	48	327
IPI00653439	TREMBL Q3TA56 Q3U0F1	417	o328-350i	o(1-328=327)/1 i(350-417=67)/0 	67	327
IPI00121894	SWISS-PROT Q91WD2	729	o327-349i386-405o415-437i492-514o554-576i	o(1-327=326)/1 i(349-386=37)/0 o(405-415=10)/0 i(437-492=55)/0 o(514-554=40)/0 i(576-729=153)/0 	81.6667	125.333
IPI00762680	TREMBL E9PXU7	725	o327-349i386-405o415-437i487-509o550-572i	o(1-327=326)/1 i(349-386=37)/0 o(405-415=10)/0 i(437-487=50)/0 o(509-550=41)/0 i(572-725=153)/0 	80	125.667
IPI00118020	SWISS-PROT Q99N28	396	o327-349i	o(1-327=326)/1 i(349-396=47)/0 	47	326
IPI00408495	SWISS-PROT P18572-1	389	o327-349i	o(1-327=326)/1 i(349-389=40)/0 	40	326
IPI00850833	SWISS-PROT Q8BLQ9-3	395	o327-349i	o(1-327=326)/1 i(349-395=46)/0 	46	326
IPI00987083	ENSEMBL ENSMUSP00000127850	395	o327-349i	o(1-327=326)/1 i(349-395=46)/0 	46	326
IPI00830206	TREMBL F6YTC4	650	o326-348i360-382o420-437i607-629o	o(1-326=325)/1 i(348-360=12)/0 o(382-420=38)/0 i(437-607=170)/0 o(629-650=21)/0 	91	128
IPI00117123	SWISS-PROT Q61098	537	o326-348i	o(1-326=325)/1 i(348-537=189)/0 	189	325
IPI00124987	SWISS-PROT Q00941	388	o326-348i	o(1-326=325)/1 i(348-388=40)/0 	40	325
IPI00938454	TREMBL Q8C257	372	o326-348i	o(1-326=325)/1 i(348-372=24)/0 	24	325
IPI00118847	SWISS-PROT Q61212	371	o32-61i74-96o111-130i151-173o214-236i261-283o298-320i	o(1-32=31)/1 i(61-74=13)/0 o(96-111=15)/0 i(130-151=21)/0 o(173-214=41)/0 i(236-261=25)/0 o(283-298=15)/0 i(320-371=51)/0 	27.5	25.5
IPI00112072	SWISS-PROT Q9D8V0-1	378	o32-54i75-97o107-129i210-232o258-277i290-312o317-336i	o(1-32=31)/1 i(54-75=21)/0 o(97-107=10)/0 i(129-210=81)/0 o(232-258=26)/0 i(277-290=13)/0 o(312-317=5)/0 i(336-378=42)/0 	39.25	18
IPI00408103	SWISS-PROT Q9D8V0-4	394	o32-54i75-97o107-129i210-232o258-277i290-312o317-336i	o(1-32=31)/1 i(54-75=21)/0 o(97-107=10)/0 i(129-210=81)/0 o(232-258=26)/0 i(277-290=13)/0 o(312-317=5)/0 i(336-394=58)/0 	43.25	18
IPI00131049	SWISS-PROT Q91ZC1	312	o32-54i75-97o107-129i142-161o181-203i223-240o260-279i	o(1-32=31)/1 i(54-75=21)/0 o(97-107=10)/0 i(129-142=13)/0 o(161-181=20)/0 i(203-223=20)/0 o(240-260=20)/0 i(279-312=33)/0 	21.75	20.25
IPI00461961	TREMBL Q6PGJ8 Q8HWB1	224	o32-54i75-97o107-129i	o(1-32=31)/1 i(54-75=21)/0 o(97-107=10)/0 i(129-224=95)/0 	58	20.5
IPI00228576	SWISS-PROT Q9D8V0-3	378	o32-54i75-97o101-118i125-147o162-179i200-222o258-277i290-312o317-336i	o(1-32=31)/1 i(54-75=21)/0 o(97-101=4)/0 i(118-125=7)/0 o(147-162=15)/0 i(179-200=21)/0 o(222-258=36)/0 i(277-290=13)/0 o(312-317=5)/0 i(336-378=42)/0 	20.8	18.2
IPI01008001	TREMBL E9QMS4	378	o32-54i75-97o101-118i125-147o162-179i200-222o258-277i290-312o317-336i	o(1-32=31)/1 i(54-75=21)/0 o(97-101=4)/0 i(118-125=7)/0 o(147-162=15)/0 i(179-200=21)/0 o(222-258=36)/0 i(277-290=13)/0 o(312-317=5)/0 i(336-378=42)/0 	20.8	18.2
IPI00228575	SWISS-PROT Q9D8V0-2	173	o32-54i75-97o101-118i	o(1-32=31)/1 i(54-75=21)/0 o(97-101=4)/0 i(118-173=55)/0 	38	17.5
IPI00454090	SWISS-PROT Q6H1V1	669	o32-54i75-94o229-251i271-288o	o(1-32=31)/1 i(54-75=21)/0 o(94-229=135)/0 i(251-271=20)/0 o(288-669=381)/0 	20.5	182.333
IPI00955137	TREMBL Q7TR46	314	o32-54i67-89o99-121i150-172o203-225i246-265o280-298i	o(1-32=31)/1 i(54-67=13)/0 o(89-99=10)/0 i(121-150=29)/0 o(172-203=31)/0 i(225-246=21)/0 o(265-280=15)/0 i(298-314=16)/0 	19.75	21.75
IPI00153530	TREMBL Q8K4H9 Q8R297	328	o32-54i67-89o148-170i199-221o256-278i285-307o	o(1-32=31)/1 i(54-67=13)/0 o(89-148=59)/0 i(170-199=29)/0 o(221-256=35)/0 i(278-285=7)/0 o(307-328=21)/0 	16.3333	36.5
IPI00986750	TREMBL E9PYW0	327	o32-54i67-89o148-170i199-221o255-277i284-306o	o(1-32=31)/1 i(54-67=13)/0 o(89-148=59)/0 i(170-199=29)/0 o(221-255=34)/0 i(277-284=7)/0 o(306-327=21)/0 	16.3333	36.25
IPI00221716	SWISS-PROT P18762	418	o32-54i67-89o109-131i152-174o201-223i275-297o307-326i	o(1-32=31)/1 i(54-67=13)/0 o(89-109=20)/0 i(131-152=21)/0 o(174-201=27)/0 i(223-275=52)/0 o(297-307=10)/0 i(326-418=92)/0 	44.5	22
IPI00122474	SWISS-PROT P51436	387	o32-54i67-89o109-128i148-167o187-209i315-337o352-371i	o(1-32=31)/1 i(54-67=13)/0 o(89-109=20)/0 i(128-148=20)/0 o(167-187=20)/0 i(209-315=106)/0 o(337-352=15)/0 i(371-387=16)/0 	38.75	21.5
IPI00408432	TREMBL Q7TRP6	344	o32-54i67-89o104-126i206-228o248-270i	o(1-32=31)/1 i(54-67=13)/0 o(89-104=15)/0 i(126-206=80)/0 o(228-248=20)/0 i(270-344=74)/0 	55.6667	22
IPI00127674	TREMBL Q7TR50 Q8VGT7	314	o32-54i67-89o104-126i202-224o244-266i279-298o	o(1-32=31)/1 i(54-67=13)/0 o(89-104=15)/0 i(126-202=76)/0 o(224-244=20)/0 i(266-279=13)/0 o(298-314=16)/0 	34	20.5
IPI00331186	SWISS-PROT Q3UF25	288	o32-54i67-89o104-126i157-179o194-213i	o(1-32=31)/1 i(54-67=13)/0 o(89-104=15)/0 i(126-157=31)/0 o(179-194=15)/0 i(213-288=75)/0 	39.6667	20.3333
IPI00126704	TREMBL A2AV42 Q8VG99	314	o32-54i67-89o104-126i150-172o203-225i246-265o280-298i	o(1-32=31)/1 i(54-67=13)/0 o(89-104=15)/0 i(126-150=24)/0 o(172-203=31)/0 i(225-246=21)/0 o(265-280=15)/0 i(298-314=16)/0 	18.5	23
IPI00469112	TREMBL A2AV41	314	o32-54i67-89o104-126i150-172o203-225i246-265o280-298i	o(1-32=31)/1 i(54-67=13)/0 o(89-104=15)/0 i(126-150=24)/0 o(172-203=31)/0 i(225-246=21)/0 o(265-280=15)/0 i(298-314=16)/0 	18.5	23
IPI00353247	TREMBL Q7TR35	314	o32-54i67-89o104-126i150-172o203-225i244-266o281-298i	o(1-32=31)/1 i(54-67=13)/0 o(89-104=15)/0 i(126-150=24)/0 o(172-203=31)/0 i(225-244=19)/0 o(266-281=15)/0 i(298-314=16)/0 	18	23
IPI00126702	TREMBL Q7TR49 Q8VG98	314	o32-54i67-89o104-126i150-172o200-222i243-265o280-298i	o(1-32=31)/1 i(54-67=13)/0 o(89-104=15)/0 i(126-150=24)/0 o(172-200=28)/0 i(222-243=21)/0 o(265-280=15)/0 i(298-314=16)/0 	18.5	22.25
IPI00133472	SWISS-PROT P30728-1	446	o32-54i67-89o104-126i150-172o187-209i377-399o414-436i	o(1-32=31)/1 i(54-67=13)/0 o(89-104=15)/0 i(126-150=24)/0 o(172-187=15)/0 i(209-377=168)/0 o(399-414=15)/0 i(436-446=10)/0 	53.75	19
IPI00221401	SWISS-PROT P30728-2	425	o32-54i67-89o104-126i150-172o187-209i356-378o393-415i	o(1-32=31)/1 i(54-67=13)/0 o(89-104=15)/0 i(126-150=24)/0 o(172-187=15)/0 i(209-356=147)/0 o(378-393=15)/0 i(415-425=10)/0 	48.5	19
IPI00408462	TREMBL Q7TRV0	317	o32-54i67-89o104-126i147-169o210-232i244-266o281-298i	o(1-32=31)/1 i(54-67=13)/0 o(89-104=15)/0 i(126-147=21)/0 o(169-210=41)/0 i(232-244=12)/0 o(266-281=15)/0 i(298-317=19)/0 	16.25	25.5
IPI00474732	TREMBL B2RU76 Q7TS33 Q8C0U2	327	o32-54i67-89o104-126i147-169o210-232i244-266o281-298i	o(1-32=31)/1 i(54-67=13)/0 o(89-104=15)/0 i(126-147=21)/0 o(169-210=41)/0 i(232-244=12)/0 o(266-281=15)/0 i(298-327=29)/0 	18.75	25.5
